r_arcmin,relative stellar surface density,uncertainty on relative stellar surface density,source
0.0716471869098,1.0,0.0738984946369,HST WFPC2 star counts
0.0988033333333,0.868546810991,0.33286384526,Keck LRIS surface photometry
0.129148759133,0.921085278369,0.0702501716788,HST WFPC2 star counts
0.179364760717,0.720086427039,0.0749965487522,HST WFPC2 star counts
0.24322378931,0.68898933753,0.0999753185215,HST WFPC2 star counts
0.31088480291,0.555694274369,0.0966914635016,HST WFPC2 star counts
0.327,0.624069891024,0.0193129309371,Keck LRIS star counts
0.345753333333,0.665569221129,0.143567388566,Keck LRIS surface photometry
0.387438933055,0.56606682154,0.124231786015,HST WFPC2 star counts
0.485446977027,0.370382998516,0.0883681400481,HST WFPC2 star counts
0.489,0.381973496427,0.018329331818,Keck LRIS star counts
0.566425355013,0.326176843912,0.0547270134579,HST WFPC2 star counts
0.636069999253,0.235797404242,0.0343569632674,HST WFPC2 star counts
0.652,0.272115468463,0.0177694974428,Keck LRIS star counts
0.708892125806,0.195584141303,0.0257586920559,HST WFPC2 star counts
0.782941627502,0.146117017977,0.0186823352208,HST WFPC2 star counts
0.818,0.145088579938,0.0143119358489,Keck LRIS star counts
0.865202772069,0.139784404635,0.0173991820271,HST WFPC2 star counts
0.955708058675,0.0900683551033,0.0112969826451,HST WFPC2 star counts
0.971,0.0890006605741,0.012090964064,Keck LRIS star counts
1.05642166667,0.106864443881,0.0203741385674,Keck LRIS surface photometry
1.08487862868,0.0624016806156,0.0085106278438,HST WFPC2 star counts
1.133,0.0550799110263,0.0100294144767,Keck LRIS star counts
1.28246465005,0.0372769440136,0.00559756419747,HST WFPC2 star counts
1.301,0.0349907482832,0.008269620162,Keck LRIS star counts
1.456,0.0266509828641,0.00745230596722,Keck LRIS star counts
1.5,0.0295037618477,0.00733504777806,SDSS / Jordi & Grebel(2010)
1.628,0.0123172350753,0.00477267016932,Keck LRIS star counts
1.63151041667,0.0208253546017,0.00846940789514,HST WFPC2 star counts
1.784,0.0105339979631,0.00448822415278,Keck LRIS star counts
1.914,0.0026594585757,0.00158112118127,Keck LRIS star counts
2.077,0.00442174028236,0.00252255190431,Keck LRIS star counts
2.1,0.00434347194105,0.00254144342512,SDSS / Jordi & Grebel(2010)
2.424,0.00358916339671,0.00228030059254,Keck LRIS star counts
2.574,0.00154636933905,0.00112388261541,Keck LRIS star counts
2.7,0.00420228063999,0.00170203216671,SDSS / Jordi & Grebel(2010)
2.756,0.00451890519458,0.00281730213362,Keck LRIS star counts
3.227,0.00125335249543,0.000866824173952,Keck LRIS star counts
4.0,0.00106183311853,0.000647033914616,SDSS / Jordi & Grebel(2010)
6.0,0.000594842888518,0.000421929362741,SDSS / Jordi & Grebel(2010)
8.0,0.00116190245296,0.000436192117993,SDSS / Jordi & Grebel(2010)
10.0,6.11397697209e-05,0.000253157617692,SDSS / Jordi & Grebel(2010)
12.0,0.000261278439383,0.000258377911592,SDSS / Jordi & Grebel(2010)
14.0,0.000118322246782,0.000221466781372,SDSS / Jordi & Grebel(2010)
16.0,0.000161209104552,0.000212279115814,SDSS / Jordi & Grebel(2010)
18.0,-0.000294662309879,0.000140643120929,SDSS / Jordi & Grebel(2010)
20.0,0.000181222971538,0.000191966268265,SDSS / Jordi & Grebel(2010)
22.0,-4.80267774772e-05,0.000158615315639,SDSS / Jordi & Grebel(2010)
24.0,0.000127852659608,0.000170085163729,SDSS / Jordi & Grebel(2010)
26.0,-0.000154394182316,0.000134212959392,SDSS / Jordi & Grebel(2010)
28.0,-2.46339459204e-05,0.000142956192662,SDSS / Jordi & Grebel(2010)
30.0,6.11397697209e-05,0.000146160618722,SDSS / Jordi & Grebel(2010)
32.0,0.00018622643831,0.000152174500139,SDSS / Jordi & Grebel(2010)
34.0,-8.01345854412e-05,0.000124592270075,SDSS / Jordi & Grebel(2010)
36.0,8.33773996833e-05,0.000135266222345,SDSS / Jordi & Grebel(2010)
38.0,-0.000170599742609,0.000109468529853,SDSS / Jordi & Grebel(2010)
